marker_index,user_id,comment_id,category_id,category_en,lon,lat,marker_text,text_len,num_likes,liker_ids
76,17968,19264,3,Missing bike path,-73.56083899333953,45.5368856278258,Il faudrait une axe cyclable sur sherbrooke,43,15,48380;48400;51032;49278;51083;51482;51489;18475;52052;52253;51050;52391;52430;53399;53583
77,17968,19266,2,Bike path needing improvement or adjustment,-73.55966103643577,45.54707639231992,coin de rue très dangereux,26,14,48553;49736;43693;51078;48965;49600;49394;52052;19019;51050;54337;49347;23051;55187
78,17968,19268,3,Missing bike path,-73.56476675272555,45.54858142081622,Axe Nord sud manquant,21,9,48553;51214;49600;52041;19019;48965;51050;54337;49347
79,17968,19273,3,Missing bike path,-73.62188369913528,45.53074620084072,Axe manquant sur du Parc et Jean Talon,38,22,48867;48489;51044;19009;20248;50396;49600;32141;23150;23025;49064;51612;19019;18475;51871;51908;49398;51050;51103;52598;53901;54067
80,17968,19617,3,Missing bike path,-73.54406245513769,45.53311816412318,Notre Dame est dangereuse et pas allumé. Le stationnement sur Ste Catherine sur le viaduc est interdit. La largeur induit une vitesse excessive. un lien entre du harve et alphonse de roy dérangera personne et ajoutera un lien important entre Ville-Marie et MHM,260,7,49772;49600;49394;19019;51050;52501;48198
81,17968,19619,3,Missing bike path,-73.54433505266546,45.536436812301105,Pas de trottoir,15,5,51894;48755;19019;51050;53704
82,17968,20532,3,Missing bike path,-73.54412579299554,45.538647868955024,Il manque de connectivité dans le secteur. La chausse designée s'arrête et ne se connecte pas. Il faut le prolonger jusqu'à du harve par ste catherine.,151,5,51894;48755;19019;52075;51050
83,17977,19427,3,Missing bike path,-73.58979702043699,45.514087882253904,Cette route mérite une promenade polyvolante (pédestre/cyclable),64,23,49166;19009;48863;51079;48301;48136;49908;51214;49600;51423;51475;51512;49517;19019;48238;51358;42957;47517;51965;49012;51050;54239;55087
84,17977,19432,1,Appreciated bike path,-73.59257015794294,45.515819534962475,Ajout de ce tronçon de la piste bi-directionnelle-Côté Sté Catherine améliore la sécurité pour tous - piéton et cycliste,120,17,23154;17967;47608;49215;51214;48301;42332;51359;33218;19019;48865;51864;51050;52451;53614;53995;53724
85,17977,19436,2,Bike path needing improvement or adjustment,-73.5990237916071,45.51598267546149,Manque d’espace pour tourner vers Laurier,41,15,48647;47608;48140;18316;51483;51612;19171;51702;51864;52112;51050;53565;53952;54364;55094
86,17977,19437,3,Missing bike path,-73.60499027276826,45.51903394381904,Manque d’infrastructure cyclable- Bloomfield et St Viateur,58,11,48370;48301;51103;51083;33218;51483;51512;19019;39359;51050;19570
87,17977,19444,1,Appreciated bike path,-73.5894135223829,45.51652960443579,Piste Mont Royal - grand amelioration- my kids can now access Jeanne Mance on their own and be safe crossing these intersections,128,20,48647;48301;20248;23154;48919;18309;47608;49215;48140;42332;33218;47253;51398;51234;19019;48033;52028;51050;53995;53724
88,17980,29243,3,Missing bike path,-73.60910194048165,45.51950376097952,"La pietonnisation de Bernard coupe la lien. La route devrait servir à tous les utilisateurs des rues, trottoirs pour piétons, stationnement pour terrasses et la route pour bus, auto et vélo! Les bus en détour sur Lajoie est dangereux!",234,1,54777
89,18038,25598,1,Appreciated bike path,-73.60640585102387,45.51537926935217,Bien,4,3,53614;53724;49239
90,18038,25602,1,Appreciated bike path,-73.59135144189065,45.516060198630726,Bien,4,1,53724
91,18053,22475,3,Missing bike path,-73.61225786508481,45.518965834026176,Mettre l’avenue Lajoie en sens unique et installer des pistes cyclables unidirectionnelles de chaque côté,105,4,51050;18133;53738;17980
92,18053,22481,3,Missing bike path,-73.60357354118112,45.51845874565288,"Mettre l’avenue Bloomfield en sens unique dans Outremont et installer des pistes unidirectionnelles de chaque côté, retirer le stationnement sur cette rue pour la rendre confortable à la mobilité douce",201,3,19171;51050;19570
93,18053,22485,2,Bike path needing improvement or adjustment,-73.59782955204507,45.51729419863861,Rendre les bandes cyclables sur Laurier en format protégé des autos avec des séparateurs,88,5,19171;51050;53781;54178;55000
94,18053,22490,3,Missing bike path,-73.60116990442333,45.521749377819106,"Mettre des pistes cyclables unidirectionnelles de chaque côté de Parc sur toute sa longueur, c’est une rue majeure qui est extrêmement dangereuse pour la mobilité active. Elle doit absolument être sécurisée",206,31,48033;19880;50569;51702;18309;42957;51818;47814;49171;51890;19019;51965;51983;48865;52083;52141;48965;52182;52227;52241;51050;52391;52151;52480;52511;52581;18533;53689;53781;53902;53996
95,18053,22494,2,Bike path needing improvement or adjustment,-73.6062778356446,45.51541627706209,L’intersection Stuart et Cote-Ste-Catherine est à revoir. Il n’y a pas de feux de signalisation adaptés aux vélos et il nay a pas de zones d’attente pour traverser de façon sécurisée,182,6,39359;51050;53534;53614;54546;55094
96,18053,22498,3,Missing bike path,-73.61535007159735,45.511662569910584,Revoir complètement l’intersection Vincent d’Indy et Cote-Ste-Catherine afin de la sécuriser pour les personnes à pieds et à vélo,129,11,39359;51864;20551;51050;53614;53722;53952;54118;54183;17980;55087
97,18053,22503,3,Missing bike path,-73.60203285020918,45.52208783011818,"Installer des pistes cyclables sur Parc, cette rue a grandement besoin d’être sécurisée et réaménagée pour les piétons et cyclistes",131,21,19880;50569;51358;48655;51890;19019;51806;48865;52084;52071;48965;49398;51050;52387;52391;52480;52598;53681;53781;53902;18309
98,18053,22506,3,Missing bike path,-73.59960416174336,45.52103442857694,"Svp, sécuriser la rue du Parc avec des pistes cyclables et des réaménagements confortables et sécuritaires pour les piétons",123,20,48033;50569;51702;47680;48655;48700;51890;19019;52098;52185;52227;51050;52362;52391;52480;52484;52550;52556;52598;52673
99,18133,25397,3,Missing bike path,-73.61085917702162,45.522934988497326,"Manque clairement un lien cyclable sur Bloomfield, déjà identifié dans le plan de mobilité Outremont...",103,0,
100,18133,25398,1,Appreciated bike path,-73.60287042920535,45.52588792362204,Incroyable ajout!,17,3,53286;53724;54359
101,18133,25403,1,Appreciated bike path,-73.59400110362623,45.51565224510725,Nouvel ajout ENFIN!! Je l'emprunte tout les jours et cela a réduit mon temps de déplacment,90,3,53614;53763;53724
102,18133,25404,2,Bike path needing improvement or adjustment,-73.5906829629099,45.5158951622343,"Intersection CSC et Mont Royal a réviser, difficulté à traverser l'intersection en vélo de façon sécuritaire",108,3,24078;53614;53722
103,18204,24332,1,Appreciated bike path,-73.57489180542501,45.558162742459984,bien,4,2,51050;53724
104,18204,24333,1,Appreciated bike path,-73.57993001743688,45.55694579566503,bien,4,3,51050;53472;53724
105,18204,24334,2,Bike path needing improvement or adjustment,-73.55825494033053,45.54905596328851,rachel trop congestionné sur les pistes,39,7,48878;52391;51050;53704;23051;55187;50105
106,18204,24335,2,Bike path needing improvement or adjustment,-73.57325838914552,45.52656561661911,devrait être unidirectionnelle,30,3,51050;53294;45151
107,18204,24336,1,Appreciated bike path,-73.58820191885741,45.52635962409818,très utile,10,8,52370;51050;53436;19009;54072;53724;45151;54645
108,18204,24338,3,Missing bike path,-73.60401239137215,45.522985015474774,"parc est dangereux a velo, trop de stationnement",48,5,52480;52527;51050;52598;53692
109,18221,19489,3,Missing bike path,-73.57111640425826,45.499127673224166,Le REV Peel doit être prolongé jusqu'à de Maisonneuve,53,29,20655;51031;18756;48647;51072;51083;19009;18518;51203;48140;51328;48136;50363;23025;51577;51662;51709;18309;51858;48950;51050;52509;52556;52578;53421;53547;49963;54239;54468
110,18221,19491,1,Appreciated bike path,-73.63095607538939,45.53073340055255,Piste très utile pour se rendre au marché central,49,24,48219;51058;19009;19008;24285;32141;51309;50309;45054;51499;23025;51612;19019;18475;20447;45056;52098;25094;52286;51050;52598;48564;53954;53724
111,18221,19493,1,Appreciated bike path,-73.6102930884411,45.55898442002987,Devrait servir de modèle pour une traverse de la métropolitaine agréable et sécuritaire,87,15,51095;49215;48301;48385;34559;51301;34752;49549;49064;18283;19880;48755;51050;53676;53724
112,18221,19495,3,Missing bike path,-73.60657641585088,45.56721042071939,Aucun axe est-ouest au nord de la 40 dans ce secteur,52,13,20655;51095;51083;19647;19019;51784;52236;51050;19067;52155;53265;53326;55313
113,18221,19497,2,Bike path needing improvement or adjustment,-73.55626807853649,45.492997582662184,Intersection souvent chaotique,30,22,50262;18518;50447;35535;51614;48907;51709;20035;51881;51921;51966;52080;52071;52172;48950;51050;50411;52601;49713;54143;54095;54867
